Team,Park Name,Street,City,State,Zip,Phone,Website1,Website2
Baltimore Orioles,Oriole Park,333 West Camden Street,Baltimore,MD,21201,4106859800,orioles.com,
Boston Red Sox,Fenway Park,4 Jersey Street,Boston,MA,2215,6172679440,redsox.com,losredsox.com
Chicago White Sox,Guaranteed Rate Field,333 West 35th Street,Chicago,IL,60616,3126741000,whitesox.com,loswhitesox.com
Cleveland Indians,Progressive Field,2401 Ontario Street,Cleveland,OH,44115,2164204200,indians.com,
Detroit Tigers,Comerica Park,2100 Woodward Avenue,Detroit,MI,48201,3134712000,tigers.com,
Houston Astros,Minute Maid Park,501 Crawford Street,Houston,TX,77002,7132598000,astros.com,astrosdehouston.com
Kansas City Royals,Kauffman Stadium,One Royal Way,Kansas City,MO,64129,8169218000,royals.com,losreales.com
Los Angeles Angels,Angel Stadium,2000 Gene Autry Way,Anaheim,CA,92806,7149402000,angels.com,angelsbeisbol.com
Minnesota Twins,Target Field,1 Twins Way,Minneapolis,MN,55403,6126593400,twinsbaseball.com,
New York Yankees,Yankee Stadium,One East 161st Street,Bronx,NY,10451,7182934300,yankees.com,yankeesbeisbol.com
Oakland Athletics,Oakland Coliseum,7000 Coliseum Way,Oakland,CA,94621,5106384900,athletics.com,losathleticos.com
Seattle Mariners,T-Mobile Park,P.O. Box 4100,Seattle,WA,98104,2063464000,Mariners.com,losmarineros.com
Tampa Bay Rays,Tropicana Field,One Tropicana Drive,St. Petersburg,FL,33705,7278253137,raysbaseball.com,raysbeisbol.com
Texas Rangers,Globe Life Park in Arlington,1000 Ballpark Way,Arlington,TX,76011,8172735222,texasrangers.com,
Toronto Blue Jays,Rogers Centre,"1 Blue Jays Way, Suite 3200",Toronto,"Ontario, CAN",M5V1J1,4163411000,bluejays.com,
Arozona Diamondbacks,Chase Field,401 East Jefferson Street,Phoenix,AZ,85004,6024626500,dbacks.com,losdbacks.com
Atlanta Braves,SunTrust Park,755 Battery Avenue,Atlanta,GA,30339,4046142300,braves.com,losbravosbeisbol.com
Chicago Cubs,Wrigley Field,1060 West Addison,Chicago,IL,60613,7734042827,cubs.com,loscubs.com
Cincinnati Reds,Great American Ball Park,100 Main Street,Cincinnati,OH,45202,5137657000,reds.com,
Colorado Rockies,Coors Field,2001 Blake Street,Denver,CO,80205,3032920200,Rockies.com,
Los Angeles Dodgers,Dodger Stadium,1000 Vin Scully Avenue,Los Angeles,CA,90012,866DODGERS,dodgers.com,losdodgers.com
Miami Marlins,Marlins Park,One Brewers Way,Milwaukee,WI,53214,4149024400,brewers.com,
New York Mets,Citi Field,120-01 Roosevelt Avenue,Corona,NY,11368,7185076387,mets.com,losmets.com
Philadelphia Phillies,Citizens Bank Park,One Citizens Bank Way,Philadelphia,PA,19148,2154636000,phillies.com,
Pittsburgh Pirates,PNC Park,115 Federal Street,Pittsburgh,PA,15212,4123235000,pirates.com,
San Diego Padres,Petco Park,100 Park Boulevard,San Diego,CA,92101,6197955000,padres.com,padresbeisbol.com
San Francisco Giants,Oracle Park,24 Willie Mays Plaza,San Francisco,CA ,94107,4159722000,SFGiants.com,sfgigantes.com
St. Louis Cardinals,Busch Stadium,700 Clark Street,St. Louis,MO,63102,3143459600,cardinals.com,
Washington Nationals,Nationals Park,"1500 South Capitol Street, SE",Washington,DC,20003,2026756287,nationals.com,losnacionales.com
