RK,TEAM,HOME GMS,HOME TOTAL,HOME AVG,HOME PCT,ROAD GMS,ROAD AVG,ROAD PCT,OVERALL GMS,OVERALL AVG,OVERALL PCT,YEAR
1,Seattle             ,81,"3,507,507","43,302",91.9,81,"31,764",68.1,162,"37,533",80.1,2001
2,San Francisco       ,81,"3,307,686","40,835",100.1,81,"35,260",70.3,162,"38,048",83.7,2001
3,NY Yankees,80,"3,264,777","40,809",74.1,81,"34,787",76.5,161,"37,779",75.2,2001
4,Cleveland           ,80,"3,175,523","39,694",92.6,81,"29,276",65.4,161,"34,452",78.6,2001
5,Colorado            ,81,"3,160,115","39,013",77.7,81,"30,842",63.3,162,"34,928",70.6,2001
6,Baltimore           ,80,"3,094,841","38,685",79.2,81,"28,951",63,161,"33,788",71.2,2001
7,St. Louis           ,81,"3,113,091","38,433",77.3,80,"33,883",75,161,"36,172",76.2,2001
8,LA Dodgers,81,"3,017,502","37,253",66.5,81,"32,910",68.5,162,"35,081",67.4,2001
9,Houston             ,81,"2,904,280","35,855",85,80,"29,305",63.6,161,"32,600",73.9,2001
10,Chicago Cubs,79,"2,779,454","35,182",88.9,81,"34,848",76.1,160,"35,013",82,2001
11,Texas               ,81,"2,831,111","34,951",71.1,80,"28,165",61.6,161,"31,579",66.5,2001
12,Atlanta             ,81,"2,823,494","34,857",69.6,80,"28,794",58.6,161,"31,844",64.2,2001
13,Milwaukee           ,81,"2,811,041","34,704",81.7,79,"29,512",65.1,160,"32,140",73.2,2001
14,Arizona             ,81,"2,744,433","33,881",75.2,80,"32,110",64.9,161,"33,001",69.8,2001
15,NY Mets,81,"2,658,279","32,818",58.8,81,"29,955",61.6,162,"31,387",60.1,2001
16,Boston              ,81,"2,625,333","32,411",96.6,80,"33,760",70.8,161,"33,081",81.5,2001
17,Pittsburgh          ,79,"2,436,290","30,839",80.4,80,"27,509",59.6,159,"29,163",69,2001
18,San Diego           ,80,"2,378,116","29,726",44.8,81,"31,342",66.9,161,"30,539",54,2001
19,Oakland             ,81,"2,133,277","26,336",60.3,80,"28,328",61,161,"27,326",60.7,2001
20,LA Angels,81,"2,000,919","24,702",54.8,81,"30,856",67.1,162,"27,779",61,2001
21,Detroit             ,80,"1,921,305","24,016",60,80,"27,665",61.8,160,"25,841",61,2001
22,Cincinnati          ,79,"1,879,872","23,795",59.5,81,"32,958",71,160,"28,434",65.8,2001
23,Toronto             ,81,"1,915,438","23,647",47.4,80,"27,748",59.6,161,"25,685",53.2,2001
24,Philadelphia        ,78,"1,782,054","22,846",36.6,79,"26,808",56.3,157,"24,840",45.2,2001
25,Minnesota           ,80,"1,782,926","22,286",45.8,81,"28,079",63.7,161,"25,201",54.3,2001
26,Chicago White Sox,80,"1,766,142","22,076",49.8,81,"27,276",61.2,161,"24,692",55.6,2001
27,Kansas City         ,81,"1,536,371","18,967",46.7,80,"27,991",62.5,161,"23,451",54.9,2001
28,Tampa Bay           ,81,"1,298,365","16,029",35.5,81,"28,262",61.7,162,"22,145",48.7,2001
29,Florida             ,80,"1,261,220","15,765",37.1,80,"26,108",52.8,160,"20,936",45.5,2001
30,Montreal            ,81,"619,451","7,647",16.4,80,"26,425",53.3,161,"16,978",35.3,2001
1,Seattle             ,81,"3,540,482","43,709",92.8,81,"27,569",59.8,162,"35,639",76.4,2002
