RK,TEAM,GP,AB,R,H,2B,3B,HR,TB,RBI,AVG,OBP,SLG,OPS,YEAR
1,Seattle             ,162,5680,927,1637,310,38,169,2530,881,0.288,0.36,0.445,0.805,2001
2,Colorado            ,162,5690,923,1663,324,61,213,2748,874,0.292,0.354,0.483,0.837,2001
3,Cleveland           ,162,5600,897,1559,294,37,212,2563,868,0.278,0.35,0.458,0.807,2001
4,Texas               ,162,5685,890,1566,326,23,246,2676,844,0.275,0.344,0.471,0.815,2001
5,Oakland             ,162,5573,884,1469,334,22,199,2444,835,0.264,0.345,0.439,0.784,2001
6,Houston             ,162,5528,847,1500,313,29,208,2495,805,0.271,0.347,0.451,0.798,2001
7,Arizona             ,162,5595,818,1494,284,35,208,2472,776,0.267,0.341,0.442,0.783,2001
8,St. Louis           ,162,5450,814,1469,274,32,199,2404,768,0.27,0.339,0.441,0.78,2001
9,NY Yankees,161,5577,804,1488,289,20,203,2426,774,0.267,0.334,0.435,0.769,2001
10,San Francisco       ,162,5612,799,1493,304,40,235,2582,775,0.266,0.342,0.46,0.802,2001
11,Chicago Sox,162,5464,798,1463,300,29,214,2463,770,0.268,0.334,0.451,0.785,2001
12,San Diego           ,162,5482,789,1379,273,26,161,2187,753,0.252,0.336,0.399,0.735,2001
13,Chicago Cubs,162,5406,777,1409,268,32,194,2323,748,0.261,0.336,0.43,0.766,2001
14,Boston              ,161,5605,772,1493,316,29,198,2461,739,0.266,0.334,0.439,0.773,2001
15,Minnesota           ,162,5560,771,1514,328,38,164,2410,717,0.272,0.337,0.433,0.77,2001
16,Toronto             ,162,5663,767,1489,287,36,195,2433,728,0.263,0.325,0.43,0.755,2001
17,LA Dodgers,162,5493,758,1399,264,27,206,2335,714,0.255,0.323,0.425,0.748,2001
18,Philadelphia        ,162,5497,746,1431,295,29,164,2276,708,0.26,0.329,0.414,0.743,2001
19,Florida             ,162,5542,742,1461,325,30,166,2344,713,0.264,0.326,0.423,0.749,2001
20,Milwaukee           ,162,5488,740,1378,273,30,209,2338,712,0.251,0.319,0.426,0.745,2001
21,Cincinnati          ,162,5583,735,1464,304,22,176,2340,690,0.262,0.324,0.419,0.744,2001
