Team,Wins,Year
Arizona Diamonbacks,92,2001
Atlanta Braves,88,2001
BLA,,2001
Baltimore Orioles,63,2001
Boston Red Sox,82,2001
Chicago Cubs,88,2001
Chicago White Sox,83,2001
Cincinatti Reds,66,2001
Clevland Indians,91,2001
Colorado Rockies,73,2001
Detroit Tigers,66,2001
Houston Astros,93,2001
Kansas City Royals,65,2001
Los Angeles Angels,75,2001
Los Angeles Dodgers,86,2001
Miami Marlins,76,2001
Milwauke Brewers,68,2001
Minnesota Twins,85,2001
New York Mets,82,2001
New York Yankees,95,2001
Oakland As,102,2001
Philadelphia Phillies,86,2001
Pittsburg Pirates,62,2001
San Diego Padres,79,2001
San Francisco Giants,90,2001
Seattle Mariners,116,2001
St Louis Cardinals,93,2001
Tampa Bay Rays,62,2001
Texas Rangers,73,2001
Toronto Blue Jays,,2001
Washington Nationals,,2001
Arizona Diamonbacks,98,2002
Atlanta Braves,101,2002
BLA,,2002
Baltimore Orioles,67,2002
Boston Red Sox,93,2002
Chicago Cubs,67,2002
Chicago White Sox,81,2002
Cincinatti Reds,78,2002
Clevland Indians,74,2002
Colorado Rockies,73,2002
Detroit Tigers,55,2002
Houston Astros,84,2002
Kansas City Royals,62,2002
Los Angeles Angels,99,2002
Los Angeles Dodgers,92,2002
Miami Marlins,79,2002
Milwauke Brewers,56,2002
Minnesota Twins,94,2002
New York Mets,75,2002
New York Yankees,103,2002
Oakland As,103,2002
Philadelphia Phillies,80,2002
Pittsburg Pirates,72,2002
San Diego Padres,66,2002
San Francisco Giants,95,2002
Seattle Mariners,93,2002
St Louis Cardinals,97,2002
Tampa Bay Rays,55,2002
Texas Rangers,72,2002
Toronto Blue Jays,78,2002
Washington Nationals,83,2002
Arizona Diamonbacks,84,2003
Atlanta Braves,101,2003
BLA,,2003
Baltimore Orioles,71,2003
Boston Red Sox,95,2003
Chicago Cubs,88,2003
Chicago White Sox,86,2003
Cincinatti Reds,69,2003
Clevland Indians,68,2003
Colorado Rockies,74,2003
Detroit Tigers,43,2003
Houston Astros,87,2003
Kansas City Royals,83,2003
Los Angeles Angels,77,2003
Los Angeles Dodgers,85,2003
Miami Marlins,91,2003
Milwauke Brewers,68,2003
Minnesota Twins,90,2003
New York Mets,66,2003
New York Yankees,101,2003
Oakland As,96,2003
Philadelphia Phillies,86,2003
Pittsburg Pirates,75,2003
San Diego Padres,64,2003
San Francisco Giants,100,2003
Seattle Mariners,93,2003
St Louis Cardinals,85,2003
Tampa Bay Rays,63,2003
Texas Rangers,71,2003
Toronto Blue Jays,86,2003
Washington Nationals,83,2003
Arizona Diamonbacks,51,2004
Atlanta Braves,96,2004
BLA,,2004
Baltimore Orioles,78,2004
Boston Red Sox,98,2004
Chicago Cubs,89,2004
Chicago White Sox,83,2004
Cincinatti Reds,76,2004
Clevland Indians,80,2004
Colorado Rockies,68,2004
Detroit Tigers,72,2004
Houston Astros,92,2004
Kansas City Royals,58,2004
Los Angeles Angels,92,2004
Los Angeles Dodgers,93,2004
Miami Marlins,83,2004
Milwauke Brewers,67,2004
Minnesota Twins,92,2004
New York Mets,71,2004
New York Yankees,101,2004
Oakland As,91,2004
Philadelphia Phillies,86,2004
Pittsburg Pirates,72,2004
San Diego Padres,87,2004
San Francisco Giants,91,2004
Seattle Mariners,63,2004
St Louis Cardinals,105,2004
Tampa Bay Rays,70,2004
Texas Rangers,89,2004
Toronto Blue Jays,67,2004
Washington Nationals,67,2004
Arizona Diamonbacks,77,2005
Atlanta Braves,90,2005
BLA,,2005
Baltimore Orioles,74,2005
Boston Red Sox,95,2005
Chicago Cubs,79,2005
Chicago White Sox,99,2005
Cincinatti Reds,73,2005
Clevland Indians,93,2005
Colorado Rockies,67,2005
Detroit Tigers,71,2005
Houston Astros,89,2005
Kansas City Royals,56,2005
Los Angeles Angels,95,2005
